Montgomery Curve - Initialization Time (s);Montgomery Curve - Signature Time (s);Montgomery Curve - Verification Time (s);Edwards Curve - Initialization Time (s);Edwards Curve - Signature Time (s);Edwards Curve - Verification Time (s);Twisted Edwards Curve - Initialization Time (s);Twisted Edwards Curve - Signature Time (s);Twisted Edwards Curve - Verification Time (s)
0.3874;0.33703;0.76721;0.27067;0.27733;0.23987;0.27474;0.27471;0.23455
0.34771;0.34934;0.75531;0.27569;0.27794;0.23631;0.28411;0.27368;0.23611
0.34808;0.34861;0.76838;0.26912;0.27683;0.23738;0.2803;0.26132;0.23795
0.34847;0.34996;0.77193;0.27845;0.2762;0.23757;0.28815;0.27506;0.23698
0.34314;0.36108;0.76577;0.2897;0.28006;0.27513;0.28202;0.2796;0.23823
0.35429;0.34893;0.79504;0.43192;0.28056;0.23787;0.39559;0.29413;0.23784
0.38198;0.40979;0.80181;0.2918;0.29386;0.24569;0.28633;0.28523;0.24009
0.34472;0.37245;0.7942;0.27995;0.28148;0.27799;0.31852;0.2676;0.23898
0.39928;0.36089;0.81908;0.29728;0.28392;0.24998;0.2865;0.2915;0.24159
0.35753;0.34949;0.77902;0.27907;0.28684;0.24274;0.28333;0.27528;0.24827
0.34846;0.37447;0.78843;0.2898;0.28116;0.24847;0.28158;0.27144;0.25721
0.36227;0.34735;0.80381;0.28579;0.28906;0.2642;0.27264;0.30564;0.24983
0.34678;0.35016;0.80968;0.28587;0.27938;0.24987;0.28538;0.27538;0.24892
0.3562;0.35557;0.81161;0.27478;0.27397;0.258;0.27296;0.27992;0.2526
0.36712;0.33333;0.80117;0.27022;0.31205;0.24425;0.29881;0.29014;0.25024
0.36874;0.35124;0.80965;0.30036;0.28898;0.24166;0.29788;0.28774;0.27435
0.39182;0.36592;0.76508;0.27732;0.30141;0.24869;0.28467;0.28046;0.24814
0.35006;0.37255;0.81546;0.28078;0.28297;0.24325;0.28018;0.27956;0.24958
0.36129;0.34381;0.79196;0.29106;0.30252;0.23767;0.27919;0.2832;0.25866
0.35468;0.34417;0.82706;0.28081;0.29713;0.25713;0.27088;0.27883;0.24356
0.34773;0.33632;0.80382;0.27532;0.2775;0.23879;0.29671;0.28427;0.25323
0.37424;0.34921;0.77833;0.27817;0.28955;0.2432;0.28324;0.29262;0.2488
0.34743;0.39438;0.77995;0.30212;0.29731;0.24381;0.27718;0.29593;0.24728
0.37043;0.34159;0.80019;0.30231;0.28068;0.23922;0.27034;0.27964;0.24352
0.34643;0.34798;0.78233;0.2949;0.2816;0.23907;0.28458;0.29021;0.23729
0.37467;0.39697;0.8058;0.28774;0.28953;0.24158;0.28666;0.28374;0.25507
0.35283;0.3568;0.79969;0.28593;0.28101;0.23995;0.28528;0.2951;0.23754
