Field characteristic;A;d;Edwards Curve Order;Montgomery Curve Order;P_x;P_y
1019;0;1018;1022;1020;1018;241
1031;0;1030;1034;1032;1;473
1039;0;1038;1042;1040;1;409
1051;0;1050;1054;1052;1050;401
1063;0;1062;1066;1064;1;122
1087;0;1086;1090;1088;1;33
1091;0;1090;1094;1092;1090;33
1103;0;1102;1106;1104;1;322
1123;0;1122;1126;1124;1122;253
1151;0;1150;1154;1152;1;48
1163;0;1162;1166;1164;1162;552
1171;0;1170;1174;1172;1170;893
1187;0;1186;1190;1188;1186;504
1223;0;1222;1226;1224;1;35
1231;0;1230;1234;1232;1;331
1259;0;1258;1262;1260;1258;856
1279;0;1278;1282;1280;1;1050
1283;0;1282;1286;1284;1282;168
1291;0;1290;1294;1292;1290;88
1303;0;1302;1306;1304;1;752
1307;0;1306;1310;1308;1306;921
1319;0;1318;1322;1320;1;784
1327;0;1326;1330;1328;1;1072
1367;0;1366;1370;1368;1;1330
1399;0;1398;1402;1400;1;650
1423;0;1422;1426;1424;1;401
1427;0;1426;1430;1428;1426;217
1439;0;1438;1442;1440;1;912
1447;0;1446;1450;1448;1;258
1451;0;1450;1454;1452;1450;536
1459;0;1458;1462;1460;1458;1405
1471;0;1470;1474;1472;1;1169
1483;0;1482;1486;1484;1482;604
1487;0;1486;1490;1488;1;1328
1499;0;1498;1502;1500;1498;716
1511;0;1510;1514;1512;1;352
1523;0;1522;1526;1524;1522;1484
1531;0;1530;1534;1532;1530;1365
1543;0;1542;1546;1544;1;937
1559;0;1558;1562;1560;1;1058
1567;0;1566;1570;1568;1;56
1571;0;1570;1574;1572;1570;1249
1579;0;1578;1582;1580;1578;292
1583;0;1582;1586;1584;1;232
1607;0;1606;1610;1608;1;1457
1619;0;1618;1622;1620;1618;457
1627;0;1626;1630;1628;1626;121
1663;0;1662;1666;1664;1;568
1667;0;1666;1670;1668;1666;100
1699;0;1698;1702;1700;1698;580
1723;0;1722;1726;1724;1722;1068
1747;0;1746;1750;1748;1746;517
1759;0;1758;1762;1760;1;824
1783;0;1782;1786;1784;1;1625
1787;0;1786;1790;1788;1786;465
1811;0;1810;1814;1812;1810;1428
1823;0;1822;1826;1824;1;968
1831;0;1830;1834;1832;1;1235
1847;0;1846;1850;1848;1;43
1867;0;1866;1870;1868;1866;608
1871;0;1870;1874;1872;1;1155
1879;0;1878;1882;1880;1;1585
1907;0;1906;1910;1908;1906;1776
1931;0;1930;1934;1932;1930;1308
1951;0;1950;1954;1952;1;1434
1979;0;1978;1982;1980;1978;1028
1987;0;1986;1990;1988;1986;516
1999;0;1998;2002;2000;1;562
2003;0;2002;2006;2004;2002;1551
2011;0;2010;2014;2012;2010;1122
2027;0;2026;2030;2028;2026;1982
2039;0;2038;2042;2040;1;701
2063;0;2062;2066;2064;1;631
2083;0;2082;2086;2084;2082;1081
2087;0;2086;2090;2088;1;552
2099;0;2098;2102;2100;2098;1237
2111;0;2110;2114;2112;1;898
2131;0;2130;2134;2132;2130;1560
2143;0;2142;2146;2144;1;819
2179;0;2178;2182;2180;2178;2113
2203;0;2202;2206;2204;2202;1335
2207;0;2206;2210;2208;1;47
2239;0;2238;2242;2240;1;503
2243;0;2242;2246;2244;2242;2127
2251;0;2250;2254;2252;2250;1824
2267;0;2266;2270;2268;2266;2065
2287;0;2286;2290;2288;1;471
2311;0;2310;2314;2312;1;68
2339;0;2338;2342;2340;2338;2057
2347;0;2346;2350;2348;2346;1991
2351;0;2350;2354;2352;1;480
2371;0;2370;2374;2372;2370;1312
2383;0;2382;2386;2384;1;778
2399;0;2398;2402;2400;1;49
2411;0;2410;2414;2412;2410;1248
2423;0;2422;2426;2424;1;740
2447;0;2446;2450;2448;1;579
2459;0;2458;2462;2460;2458;1616
2467;0;2466;2470;2468;2466;2318
2503;0;2502;2506;2504;1;1080
2531;0;2530;2534;2532;2530;2242
2539;0;2538;2542;2540;2538;2001
2543;0;2542;2546;2544;1;353
2551;0;2550;2554;2552;1;500
2579;0;2578;2582;2580;2578;1456
2591;0;2590;2594;2592;1;72
2647;0;2646;2650;2648;1;300
2659;0;2658;2662;2660;2658;1415
2663;0;2662;2666;2664;1;350
2671;0;2670;2674;2672;1;468
2683;0;2682;2686;2684;2682;1688
2687;0;2686;2690;2688;1;831
2699;0;2698;2702;2700;2698;1535
2707;0;2706;2710;2708;2706;1886
2711;0;2710;2714;2712;1;767
2719;0;2718;2722;2720;1;215
2731;0;2730;2734;2732;2730;2603
2767;0;2766;2770;2768;1;510
2791;0;2790;2794;2792;1;948
2803;0;2802;2806;2804;2802;2464
2819;0;2818;2822;2820;2818;2514
2843;0;2842;2846;2844;2842;2063
2851;0;2850;2854;2852;2850;2094
2879;0;2878;2882;2880;1;985
2887;0;2886;2890;2888;1;76
2903;0;2902;2906;2904;1;345
2927;0;2926;2930;2928;1;426
2939;0;2938;2942;2940;2938;2709
2963;0;2962;2966;2964;2962;2563
2971;0;2970;2974;2972;2970;2635
2999;0;2998;3002;3000;1;786
3011;0;3010;3014;3012;3010;1553
3019;0;3018;3022;3020;3018;2288
3023;0;3022;3026;3024;1;55
3067;0;3066;3070;3068;3066;2438
3079;0;3078;3082;3080;1;847
3083;0;3082;3086;3084;3082;2947
3119;0;3118;3122;3120;1;702
3163;0;3162;3166;3164;3162;2595
3167;0;3166;3170;3168;1;829
3187;0;3186;3190;3188;3186;2839
3191;0;3190;3194;3192;1;1037
3203;0;3202;3206;3204;3202;2873
3251;0;3250;3254;3252;3250;3194
3259;0;3258;3262;3260;3258;2828
3271;0;3270;3274;3272;1;214
3299;0;3298;3302;3300;3298;1968
3307;0;3306;3310;3308;3306;2693
3319;0;3318;3322;3320;1;731
3323;0;3322;3326;3324;3322;2801
3331;0;3330;3334;3332;3330;1964
3343;0;3342;3346;3344;1;1595
3347;0;3346;3350;3348;3346;2877
3359;0;3358;3362;3360;1;1040
3371;0;3370;3374;3372;3370;2220
3391;0;3390;3394;3392;1;1400
3407;0;3406;3410;3408;1;1541
3463;0;3462;3466;3464;1;1174
3467;0;3466;3470;3468;3466;2437
3491;0;3490;3494;3492;3490;1899
3499;0;3498;3502;3500;3498;2313
3511;0;3510;3514;3512;1;559
3527;0;3526;3530;3528;1;84
3539;0;3538;3542;3540;3538;1821
3547;0;3546;3550;3548;3546;2686
3559;0;3558;3562;3560;1;1575
3571;0;3570;3574;3572;3570;2015
3583;0;3582;3586;3584;1;1059
3607;0;3606;3610;3608;1;862
3623;0;3622;3626;3624;1;1544
3631;0;3630;3634;3632;1;1671
3643;0;3642;3646;3644;3642;2840
3659;0;3658;3662;3660;3658;2225
3671;0;3670;3674;3672;1;722
3691;0;3690;3694;3692;3690;3342
3719;0;3718;3722;3720;1;61
3727;0;3726;3730;3728;1;1361
3739;0;3738;3742;3740;3738;2513
3767;0;3766;3770;3768;1;393
3779;0;3778;3782;3780;3778;2109
3803;0;3802;3806;3804;3802;3618
3823;0;3822;3826;3824;1;1651
3847;0;3846;3850;3848;1;787
3851;0;3850;3854;3852;3850;3699
3863;0;3862;3866;3864;1;1317
3907;0;3906;3910;3908;3906;2416
3911;0;3910;3914;3912;1;234
3919;0;3918;3922;3920;1;1555
3923;0;3922;3926;3924;3922;2098
3931;0;3930;3934;3932;3930;3665
3943;0;3942;3946;3944;1;1629
3947;0;3946;3950;3948;3946;2545
3967;0;3966;3970;3968;1;63
4003;0;4002;4006;4004;4002;3489
4007;0;4006;4010;4008;1;261
4019;0;4018;4022;4020;4018;2424
4027;0;4026;4030;4028;4026;2808
4051;0;4050;4054;4052;4050;3961
4079;0;4078;4082;4080;1;1955
4091;0;4090;4094;4092;4090;3791
4099;0;4098;4102;4100;4098;2915
4111;0;4110;4114;4112;1;1877
4127;0;4126;4130;4128;1;1778
4139;0;4138;4142;4140;4138;3946
4159;0;4158;4162;4160;1;1581
4211;0;4210;4214;4212;4210;2674
4219;0;4218;4222;4220;4218;3563
4231;0;4230;4234;4232;1;92
4243;0;4242;4246;4244;4242;2807
4259;0;4258;4262;4260;4258;2186
4271;0;4270;4274;4272;1;1111
4283;0;4282;4286;4284;4282;3694
4327;0;4326;4330;4328;1;969
4339;0;4338;4342;4340;4338;3568
4363;0;4362;4366;4364;4362;3327
4391;0;4390;4394;4392;1;1245
4423;0;4422;4426;4424;1;1026
4447;0;4446;4450;4448;1;427
4451;0;4450;4454;4452;4450;3909
4463;0;4462;4466;4464;1;1571
4483;0;4482;4486;4484;4482;4319
4507;0;4506;4510;4508;4506;3027
4519;0;4518;4522;4520;1;1637
4523;0;4522;4526;4524;4522;2482
4547;0;4546;4550;4548;4546;2671
4567;0;4566;4570;4568;1;791
