Field characteristic;Edwards Curve P_x;Edwards Curve P_y;Edwards Curve Point Order;Montgomery Curve P_x;Montgomery Curve P_y;Montgomery Curve Point Order
1019;13;101;1020;24;443;1020
1031;4;368;1032;21;154;1032
1039;9;493;1040;11;313;1040
1051;10;300;1052;3;227;1052
1063;3;272;1064;3;288;1064
1087;6;475;1088;3;119;1088
1091;9;191;1092;6;137;1092
1103;3;42;1104;5;251;1104
1123;18;527;1124;2;75;1124
1151;4;57;1152;13;470;1152
1163;2;61;1164;2;123;1164
1171;5;504;1172;3;84;1172
1187;2;209;1188;2;312;1188
1223;2;542;1224;10;400;1224
1231;15;163;1232;15;171;1232
1259;12;368;1260;8;326;1260
1279;8;286;1280;12;230;1280
1283;7;203;1284;2;152;1284
1291;5;544;1292;3;567;1292
1303;3;281;1304;3;234;1304
1307;7;602;1308;2;453;1308
1319;11;403;1320;13;548;1320
1327;3;427;1328;3;615;1328
1367;3;299;1368;5;611;1368
1399;8;442;1400;13;258;1400
1423;3;363;1424;3;520;1424
1427;2;410;1428;8;240;1428
1439;4;309;1440;17;395;1440
1447;3;45;1448;3;336;1448
1451;7;511;1452;8;188;1452
1459;5;134;1460;3;593;1460
1471;10;493;1472;12;300;1472
1483;5;234;1484;2;708;1484
1487;2;573;1488;5;164;1488
1499;4;452;1500;7;43;1500
1511;6;485;1512;22;135;1512
1523;2;171;1524;2;489;1524
1531;5;292;1532;3;96;1532
1543;3;590;1544;3;239;1544
1559;6;244;1560;31;487;1560
1567;3;539;1568;3;365;1568
1571;7;606;1572;6;58;1572
1579;9;143;1580;7;721;1580
1583;3;512;1584;20;113;1584
1607;2;489;1608;5;644;1608
1619;9;626;1620;7;443;1620
1627;4;175;1628;2;389;1628
1663;3;596;1664;6;717;1664
1667;2;580;1668;2;798;1668
1699;9;480;1700;3;470;1700
1723;4;785;1724;2;449;1724
1747;6;120;1748;2;532;1748
1759;10;169;1760;6;500;1760
1783;3;342;1784;3;487;1784
1787;14;471;1788;7;623;1788
1811;6;868;1812;10;739;1812
1823;2;694;1824;30;802;1824
1831;9;257;1832;6;155;1832
1847;2;870;1848;20;363;1848
1867;4;576;1868;2;710;1868
1871;9;360;1872;19;56;1872
1879;6;104;1880;6;157;1880
1907;2;332;1908;2;840;1908
1931;4;708;1932;47;169;1932
1951;9;535;1952;12;197;1952
1979;6;184;1980;10;384;1980
1987;16;951;1988;18;204;1988
1999;12;160;2000;15;213;2000
2003;2;20;2004;5;575;2004
2011;5;398;2012;3;583;2012
2027;6;210;2028;2;487;2028
2039;20;377;2040;11;437;2040
2063;2;325;2064;15;908;2064
2083;5;83;2084;2;250;2084
2087;2;544;2088;5;982;2088
2099;9;695;2100;8;201;2100
2111;10;459;2112;13;272;2112
2131;5;753;2132;3;694;2132
2143;3;946;2144;3;167;2144
2179;14;681;2180;7;702;2180
2203;4;280;2204;2;105;2204
2207;2;654;2208;10;863;2208
2239;15;571;2240;6;971;2240
2243;2;247;2244;6;939;2244
2251;9;855;2252;3;956;2252
2267;7;326;2268;15;796;2268
2287;3;1125;2288;3;1080;2288
2311;9;558;2312;6;830;2312
2339;4;1014;2340;23;795;2340
2347;15;433;2348;2;325;2348
2351;4;982;2352;13;670;2352
2371;8;932;2372;3;49;2372
2383;3;449;2384;3;563;2384
2399;8;823;2400;26;665;2400
2411;4;407;2412;8;727;2412
2423;3;357;2424;11;899;2424
2447;2;823;2448;11;1081;2448
2459;4;1107;2460;7;53;2460
2467;5;1073;2468;2;479;2468
2503;3;290;2504;3;577;2504
2531;13;73;2532;7;1180;2532
2539;5;203;2540;3;864;2540
2543;2;263;2544;5;671;2544
2551;6;885;2552;6;718;2552
2579;8;1206;2580;18;1080;2580
2591;4;484;2592;14;650;2592
2647;3;1041;2648;3;313;2648
2659;8;673;2660;8;1241;2660
2663;2;1186;2664;22;1050;2664
2671;9;561;2672;12;1007;2672
2683;4;512;2684;2;832;2684
2687;2;697;2688;10;625;2688
2699;7;1280;2700;6;871;2700
2707;5;1300;2708;2;654;2708
2711;18;496;2712;21;617;2712
2719;6;380;2720;6;1196;2720
2731;5;942;2732;3;558;2732
2767;3;1125;2768;3;485;2768
2791;9;222;2792;15;249;2792
2803;16;605;2804;2;290;2804
2819;8;649;2820;11;748;2820
2843;2;784;2844;5;685;2844
2851;5;1026;2852;3;1309;2852
2879;5;761;2880;26;872;2880
2887;3;366;2888;3;170;2888
2903;2;281;2904;15;354;2904
2927;2;452;2928;5;311;2928
2939;7;408;2940;23;123;2940
2963;2;1338;2964;2;1303;2964
2971;8;223;2972;3;582;2972
2999;4;302;3000;19;875;3000
3011;9;590;3012;6;1309;3012
3019;5;1453;3020;3;853;3020
3023;2;1147;3024;5;1293;3024
3067;4;86;3068;2;910;3068
3079;8;1102;3080;6;958;3080
3083;2;648;3084;39;431;3084
